ID2,Latitude,Longitude,TopDepth,BottomDepth,Horizon,c1998,c2008,c2015,n1998,n2008,n2015,d13C1998,d13C2008,d13C2015,pH1998,pH2008,pH2015,BD1998,BD2008,BD2015,CN1998,CN2008,CN2015
349,46.78272499993558,-117.08419899999996,89,109,Bw,0.75945,0.4804,0.6551367891949965,0.07932,0.05435,0.06956852889264063,,,-25.263947099999996,5.94,6.24,6.7,1.5974179263121266,1.6106074415862264,1.5974179263121266,9.574508320726173,8.839006439742409,9.417143062001713
349,46.78272499993558,-117.08419899999996,109,153,Bwb,0.34481,0.33046,0.2883496148042253,0.04255,0.03803,0.03682253196727822,,,-25.303204899999997,5.97,6.3,6.93,1.6532942978848468,1.4437591367557783,1.6532942978848468,8.10364277320799,8.689455692874047,7.830792707586288
351,46.78274099993623,-117.08336300000117,0,10,Ap,1.9943,2.9286781021897808,2.3673761379971245,0.15253,0.21031058394160584,0.19727455678006708,,,-26.468092,5.05,5.15,4.91,1.334906244639488,0.9696536531637163,0.9554140127388535,13.07480495640202,13.925490801751318,12.000412909995333
351,46.78274099993623,-117.08336300000117,10,20,Ap-A,1.8645,1.0911,1.6808477041346352,0.14629,0.10207,0.14411219613546644,,,-25.883129899999993,5.26,5.05,5,1.334906244639488,1.334906244639488,1.1929883374208232,12.745232073279103,10.689722739296561,11.66346602999948
351,46.78274099993623,-117.08336300000117,20,30,A,1.3164,2.3362,1.3565267143458142,0.10757,0.18598,0.12623769457299117,,,-25.534114199999994,5.87,5.94,5.65,1.378444642364651,1.378444642364651,1.1180902306050073,12.237612717300363,12.561565759759112,10.745813434999517
351,46.78274099993623,-117.08336300000117,30,32,A,1.3164,1.2729,1.2791028367189972,0.10757,0.12093,0.11393837940551056,,,-25.53152,5.87,5.13,5.62,1.3561087268279848,1.3561087268279848,1.3561087268279848,12.237612717300363,10.525924088315554,11.226268474177843
351,46.78274099993623,-117.08336300000117,32,78,Bw1,0.56266,0.47511,0.49417038344296493,0.05444,0.05859,0.05658077972084069,,,-25.215391399999994,6.14,6.13,6.39,1.3897466638496487,1.3897466638496487,1.3897466638496487,10.335415135929464,8.109062980030721,8.733891365250038
351,46.78274099993623,-117.08336300000117,78,112,Bw2,0.4293,0.36773,0.3314907537057603,0.03958,0.04546,0.04055984742407417,,,-24.946785399999996,6.67,6.48,6.72,1.56649833217122,1.56649833217122,1.56649833217122,10.846387064173827,8.089089309282887,8.172879701441012
351,46.78274099993623,-117.08336300000117,112,153,Bwk,0.31384,0.33422,0.247830243788457,0.02702,0.04095,0.03479612898200794,,,-24.774257699999993,6.97,6.62,7.01,1.45,1.45,1.45,11.615099925980756,8.161660561660563,7.1223509924509925
353,46.782730999934905,-117.08252699999639,0,10,Ap,2.2089,2.678678260869565,2.33054530201342,0.16309,0.21255130434782607,0.19251304996271437,,,-26.300446499999993,5.09,4.43,4.96,1.1963291894175994,1.0280943528698134,1.0139033470367167,13.544055429517442,12.602502106908204,12.105908157731626
