ID2,Latitude,Longitude,TopDepth,BottomDepth,Horizon1998,pH1998,Horizon2008,pH2008,Horizon2015,pH2015
53,46.779245999934034,-117.08413800000389,122,153,Bwb,6.04,Bwb,6.91,Bwb,7.3
53,46.779245999934034,-117.08413800000389,70,90,,,,,EB,6.84
53,46.779245999934034,-117.08413800000389,90,122,,,,,Btb,7.15
55,46.77922999993481,-117.08330200000205,0,10,Ap,5.26,Ap,5.22,Ap,4.51
55,46.77922999993481,-117.08330200000205,10,20,Ap,5.1,Ap-A,5.58,Ap-A,5
55,46.77922999993481,-117.08330200000205,20,30,Ap,6.36,A,6.41,A,6.09
55,46.77922999993481,-117.08330200000205,30,46,A,6.45,A,5.95,A,6.24
55,46.77922999993481,-117.08330200000205,46,83,Bw1,6.71,Bw1,6.51,Bw1,6.71
55,46.77922999993481,-117.08330200000205,83,122,Bw2,6.94,Bw2,6.83,Bw2,6.93
55,46.77922999993481,-117.08330200000205,122,153,Bwb,7.08,Bwb,7.61,Bwb,7.29
57,46.779335999935,-117.08246600000089,0,10,Ap,5.2,Ap,4.98,Ap,4.79
57,46.779335999935,-117.08246600000089,10,20,Ap,5.3,Ap,5.38,Ap,5.21
57,46.779335999935,-117.08246600000089,20,30,Ap,6.1,Ap-AB,6.56,Ap-AB,6.26
57,46.779335999935,-117.08246600000089,30,49,AB,6.25,AB,6.35,AB,6.45
57,46.779335999935,-117.08246600000089,49,83,Bw1,6.63,Bw1,6.65,Bw1,6.81
57,46.779335999935,-117.08246600000089,83,114,Bw2,6.74,Bw2,7.16,Bw2,6.31
57,46.779335999935,-117.08246600000089,114,153,Bwk,7.45,Bwk,7.81,Bwk,7.17
59,46.77925244174433,-117.08160014682795,0,10,Ap,5.47,Ap,4.9,Ap,4.72
59,46.77925244174433,-117.08160014682795,10,20,Ap,5.59,Ap-A,5.52,Ap-A,5.15
59,46.77925244174433,-117.08160014682795,20,30,Ap,6.34,A,6.43,A,5.76
59,46.77925244174433,-117.08160014682795,30,38,A,6.22,A,5.33,A,5.96
59,46.77925244174433,-117.08160014682795,38,66,AB,6.48,AB,6.05,AB,6.69
59,46.77925244174433,-117.08160014682795,66,107,Bw1,6.68,Bw1,6.36,Bw1,6.9
59,46.77925244174433,-117.08160014682795,107,133,Bw2,6.78,Bw2,6.52,Bw2,7.18
59,46.77925244174433,-117.08160014682795,133,153,Bwb,6.81,Bwb,6.55,Bwb,7.37
61,46.77913499993167,-117.08079400000366,0,10,Ap,6.33,Ap,6.4,Ap,4.54
61,46.77913499993167,-117.08079400000366,10,20,A,6.49,Ap-A,6.57,Ap-A,6.38
61,46.77913499993167,-117.08079400000366,20,30,A,6.55,A,6.93,A,6.96
61,46.77913499993167,-117.08079400000366,30,32,A,6.55,,5.85,A,6.68
61,46.77913499993167,-117.08079400000366,32,51.5,AE,6.36,AE,6.06,AE,6.9
61,46.77913499993167,-117.08079400000366,51.5,67,EB1,6.44,EB1,6.14,EB1,6.94
61,46.77913499993167,-117.08079400000366,67,83,EB2,6.5,EB2,6.2,,
61,46.77913499993167,-117.08079400000366,83,100,Btb1,6.48,Btb1,6.26,,
61,46.77913499993167,-117.08079400000366,100,128,Btb2,6.65,Btb2,6.37,Btb2,7.12
61,46.77913499993167,-117.08079400000366,128,153,Btb3,6.09,Btb3,6.43,Btb3,7.22
61,46.77913499993167,-117.08079400000366,67,86,,,,,EB2,7.1
61,46.77913499993167,-117.08079400000366,86,100,,,,,Btb1,6.81
63,46.77936899993603,-117.07995799999601,0,10,Ap,5.37,Ap,5.2,Ap,4.86
63,46.77936899993603,-117.07995799999601,10,20,Ap,5.43,Ap-A,5.32,Ap-A,4.93
63,46.77936899993603,-117.07995799999601,20,30,Ap,5.84,A,6.22,A,5.81
63,46.77936899993603,-117.07995799999601,30,41,A,6.24,A,5.43,A,5.86
63,46.77936899993603,-117.07995799999601,41,67,AB,6.42,AB,6.35,AB,6.56
63,46.77936899993603,-117.07995799999601,67,92,BE1,6.58,BE1,6.67,,
63,46.77936899993603,-117.07995799999601,92,114,BE2,6.53,BE2,6.65,,
63,46.77936899993603,-117.07995799999601,114,153,Btb,6.37,Btb,6.52,Btb,7.08
63,46.77936899993603,-117.07995799999601,67,85,,,,,BE1,6.98
63,46.77936899993603,-117.07995799999601,85,114,,,,,BE2,7.15
65,46.779253999931335,-117.07912199999382,0,10,Ap,5.25,Ap,5.14,Ap,4.9
65,46.779253999931335,-117.07912199999382,10,20,Ap,5.96,Ap-A,5.69,Ap-A,5.31
65,46.779253999931335,-117.07912199999382,20,30,Ap,6.45,A,6.52,A,5.88
65,46.779253999931335,-117.07912199999382,30,33,A,0,A,5.92,A,6.25
65,46.779253999931335,-117.07912199999382,33,57,AB,6.02,AB,6.12,AB,6.28
65,46.779253999931335,-117.07912199999382,57,94,BE,6.13,BE,6.2,BE,6.69
65,46.779253999931335,-117.07912199999382,94,128,Btb1,6.11,Btb1,6.16,Btb1,6.82
65,46.779253999931335,-117.07912199999382,128,153,Btb2,6.09,Btb2,6.01,Btb2,6.64
67,46.779270999928244,-117.07828600000069,0,10,Ap,5.34,Ap,5.02,Ap,4.86
67,46.779270999928244,-117.07828600000069,10,20,Ap,5.35,Ap-A1,5.4,Ap-A1,5.07
67,46.779270999928244,-117.07828600000069,20,30,Ap,6.23,A1,6.21,A1,5.88
67,46.779270999928244,-117.07828600000069,30,32,A1,0,A1,5.13,A1,6.44
67,46.779270999928244,-117.07828600000069,32,59,A2,5.9,A2,5.71,A2,6.22
67,46.779270999928244,-117.07828600000069,59,83,BE1,6.2,BE1,6.18,,
67,46.779270999928244,-117.07828600000069,83,104,BE2,6.26,BE2,6.35,,
67,46.779270999928244,-117.07828600000069,104,126,Btb1,6.13,Btb1,6.29,,
67,46.779270999928244,-117.07828600000069,126,153,Btb2,6.25,Btb2,6.16,Btb2,7.1
67,46.779270999928244,-117.07828600000069,59,85,,,,,BE1,6.78
67,46.779270999928244,-117.07828600000069,85,106,,,,,BE2,6.87
67,46.779270999928244,-117.07828600000069,106,126,,,,,Btb1,7
69,46.77941399993425,-117.08781300000162,0,10,Ap,5.44,Ap,4.94,Ap,4.72
69,46.77941399993425,-117.08781300000162,10,20,A1,5.57,Ap-A1,5.3,Ap-A1,5.14
69,46.77941399993425,-117.08781300000162,20,30,A1,5.63,A1,5.78,A1,5.58
69,46.77941399993425,-117.08781300000162,30,48,A2,5.19,A2,5.34,A2,5.9
69,46.77941399993425,-117.08781300000162,48,76,BE,5.36,BE,5.41,BE,6.14
69,46.77941399993425,-117.08781300000162,76,91,EB,5.5,EB,5.5,,
69,46.77941399993425,-117.08781300000162,91,133,Btb1,5.59,Btb1,5.46,,
69,46.77941399993425,-117.08781300000162,133,153,Btb2,5.79,Btb2,5.66,Btb2,7.1
69,46.77941399993425,-117.08781300000162,76,98,,,,,EB,6.23
69,46.77941399993425,-117.08781300000162,98,133,,,,,Btb1,6.87
71,46.77956399992798,-117.08697699999722,0,10,Ap,5.29,Ap,4.9,Ap,4.66
71,46.77956399992798,-117.08697699999722,10,20,A,5.17,Ap-A,5.67,Ap-A,4.72
71,46.77956399992798,-117.08697699999722,20,30,A,5.34,A-Bw1,6.6,A-BW1,5.59
71,46.77956399992798,-117.08697699999722,30,73,Bw1,6.46,Bw1,6.5,Bw1,6.62
71,46.77956399992798,-117.08697699999722,73,94,Bw2,6.95,Bw2,7.61,Bw2,7.45
71,46.77956399992798,-117.08697699999722,94,127,Bk1,7.58,Bk1,7.65,Bk1,7.83
71,46.77956399992798,-117.08697699999722,127,153,Bk2,7.87,Bk2,7.78,Bk2,7.92
